Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,763740140,9798.398684511834,427695,5.487109955190109,0,6908554,88.63324431982713,1771,0.022721031881695324,0,
United States of America,Americas,102977396,31110.747,0,0,0,1120529,338.526,0,0,0
China,Western Pacific,99240488,6745.149,1016,0.069,0,120912,8.218,6,0,0
India,South-East Asia,44834859,3248.893,58857,4.265,0,531152,38.489,136,0.01,0
France,Europe,38843098,59722.449,49735,76.469,0,162338,249.6,162,0.249,0
Germany,Europe,38385526,46154.916,9977,11.996,0,172086,206.917,34,0.041,0
Brazil,Americas,37358092,17575.364,38838,18.272,0,700811,329.701,255,0.12,0
Japan,Western Pacific,33580723,26550.967,43348,34.274,0,74235,58.695,125,0.099,0
Republic of Korea,Western Pacific,30994088,60453.639,49658,96.857,0,34376,67.05,34,0.066,0
Italy,Europe,25737170,43153.132,11579,19.414,0,189391,317.549,54,0.091,0
The United Kingdom,Europe,24555629,36171.858,3354,4.941,0,221943,326.935,0,0,0
Russian Federation,Europe,22776383,15607.268,41559,28.478,0,397901,272.657,220,0.151,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13813830,29184.591,15083,31.866,0,120606,254.805,180,0.38,0
Viet Nam,Western Pacific,11531072,11846.353,3030,3.113,0,43186,44.367,0,0,0
Australia,Western Pacific,11178368,43836.937,0,0,0,19936,78.181,30,0.118,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7603697,9052.78,3005,3.578,0,145837,173.63,150,0.179,0
Mexico,Americas,7563576,5866.295,9930,7.702,0,333669,258.793,73,0.057,0
